estimand,metric_scale,stage,contrast_type,selection_method,target,grouping,equal_group_estimate,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,confidence_level,bootstrap_samples,n_groups_total,n_groups_eligible,leave_one_group_out_min,leave_one_group_out_min_omitted,leave_one_group_out_max,leave_one_group_out_max_omitted,max_absolute_leave_one_out_change
selector_difference_target_difference::correct_answer_margin::vision.late,correct_answer_margin,vision.late,selector_difference_target_difference,vision_cls_attention_minus_logit_concept,,attribute_id,0.27174180249821384,0.08840132463537592,0.4602774110008898,0.95,10000,26,26,0.23379203015369796,2,0.30913057182036463,102,0.03794977234451588
selector_difference_target_difference::correct_answer_margin::vision.late,correct_answer_margin,vision.late,selector_difference_target_difference,vision_cls_attention_minus_logit_concept,,class_id,0.15900451337218915,0.0575173507771164,0.2607216951884919,0.95,10000,20,20,0.13550639565493594,56,0.18465188307139377,67,0.025647369699204614
selector_effect::correct_answer_margin::projector.output::vision_cls_attention::target_0,correct_answer_margin,projector.output,selector_effect_by_target,vision_cls_attention,0,attribute_id,-0.0820861030628071,-0.15542447181363195,-0.009787668238398724,0.95,10000,26,26,-0.09557137010198605,102,-0.06629216623293842,104,0.015793936829868682
selector_effect::correct_answer_margin::projector.output::vision_cls_attention::target_0,correct_answer_margin,projector.output,selector_effect_by_target,vision_cls_attention,0,class_id,-0.043604339115203374,-0.0984614524235801,0.0040447950413618075,0.95,10000,20,20,-0.05245958932161132,67,-0.02650572761656746,99,0.017098611498635913
selector_effect::correct_answer_margin::projector.output::vision_cls_attention::target_1,correct_answer_margin,projector.output,selector_effect_by_target,vision_cls_attention,1,attribute_id,0.11451534685914994,0.03883366336448878,0.1914534436468043,0.95,10000,26,26,0.09958703216208736,104,0.12777868642796036,102,0.014928314697062572
selector_effect::correct_answer_margin::projector.output::vision_cls_attention::target_1,correct_answer_margin,projector.output,selector_effect_by_target,vision_cls_attention,1,class_id,0.08387926212694279,0.046525114755781874,0.12336235635747354,0.95,10000,20,20,0.0755135553456123,130,0.09247653571319793,36,0.008597273586255144
selector_target_difference::correct_answer_margin::projector.output::vision_cls_attention,correct_answer_margin,projector.output,selector_target_difference,vision_cls_attention,,attribute_id,0.19660144992195702,0.05627877161292496,0.33996826684632514,0.95,10000,26,26,0.1658791983950258,104,0.2233500565299464,102,0.030722251526931227
selector_target_difference::correct_answer_margin::projector.output::vision_cls_attention,correct_answer_margin,projector.output,selector_target_difference,vision_cls_attention,,class_id,0.12748360124214617,0.05206871452533383,0.2074078667050316,0.95,10000,20,20,0.10619877873938319,99,0.14299823587832428,36,0.02128482250276298
selector_effect::correct_answer_margin::projector.output::logit_concept::target_0,correct_answer_margin,projector.output,selector_effect_by_target,logit_concept,0,attribute_id,0.026881529569694765,0.003673315319233577,0.04901708094119212,0.95,10000,26,26,0.022817901863593667,101,0.03210113599057779,312,0.0052196064208830245
selector_effect::correct_answer_margin::projector.output::logit_concept::target_0,correct_answer_margin,projector.output,selector_effect_by_target,logit_concept,0,class_id,0.025038119522982804,-0.022332567003038165,0.0691124325706845,0.95,10000,20,20,0.012103432953042328,56,0.04077550919399192,99,0.015737389671009117
selector_effect::correct_answer_margin::projector.output::logit_concept::target_1,correct_answer_margin,projector.output,selector_effect_by_target,logit_concept,1,attribute_id,-0.024631810453892088,-0.06197913149493871,0.01070085383464819,0.95,10000,26,26,-0.03287294224704777,311,-0.014540693983158883,2,0.010091116470733205
selector_effect::correct_answer_margin::projector.output::logit_concept::target_1,correct_answer_margin,projector.output,selector_effect_by_target,logit_concept,1,class_id,-0.0007761605076058204,-0.023435576908172114,0.02451880657862101,0.95,10000,20,20,-0.009892433992968531,131,0.0032746389628585354,123,0.009116273485362711
selector_target_difference::correct_answer_margin::projector.output::logit_concept,correct_answer_margin,projector.output,selector_target_difference,logit_concept,,attribute_id,-0.05151334002358685,-0.09852097751963297,-0.004664773713856629,0.95,10000,26,26,-0.06271449862453032,311,-0.04065720695786366,294,0.011201158600943471
selector_target_difference::correct_answer_margin::projector.output::logit_concept,correct_answer_margin,projector.output,selector_target_difference,logit_concept,,class_id,-0.025814280030588627,-0.08124634531818367,0.03158678165819276,0.95,10000,20,20,-0.042252128259015594,99,-0.009368269306077696,56,0.01644601072451093
selector_difference::correct_answer_margin::projector.output::target_0,correct_answer_margin,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,attribute_id,-0.14029015095074596,-0.2356110775709907,-0.04613776939943686,0.95,10000,26,26,-0.16061529865544244,102,-0.12035116175068054,104,0.020325147704696483
selector_difference::correct_answer_margin::projector.output::target_0,correct_answer_margin,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,class_id,-0.08604419849537037,-0.15077443343874006,-0.01930408425305886,0.95,10000,20,20,-0.10201746771442495,67,-0.07425682261208577,130,0.01597326921905458
selector_difference::correct_answer_margin::projector.output::target_1,correct_answer_margin,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,1,attribute_id,0.158451207606198,0.051090461394834,0.27353045492396183,0.95,10000,26,26,0.1251017559104459,2,0.17545669418205084,117,0.0333494516957521
selector_difference::correct_answer_margin::projector.output::target_1,correct_answer_margin,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,1,class_id,0.09580337766617063,0.04143466170376572,0.15182497603804979,0.95,10000,20,20,0.0827954353113687,56,0.10712649951702172,67,0.013007942354801932
selector_difference_target_difference::correct_answer_margin::projector.output,correct_answer_margin,projector.output,selector_difference_target_difference,vision_cls_attention_minus_logit_concept,,attribute_id,0.2987413585569439,0.11323919898822242,0.4970788133209477,0.95,10000,26,26,0.25817613194684075,104,0.33600351289922165,102,0.040565226610103144
selector_difference_target_difference::correct_answer_margin::projector.output,correct_answer_margin,projector.output,selector_difference_target_difference,vision_cls_attention_minus_logit_concept,,class_id,0.181847576161541,0.07305783904544891,0.28826996075665506,0.95,10000,20,20,0.15769340071097884,130,0.20914396723144668,67,0.027296391069905668
