stage,pooling,control,seed,attribute_id,attribute_name,attribute_group,train_observed,train_positive,train_negative,train_prevalence,validation_observed,validation_positive,validation_negative,threshold_selected_on_train,auroc,f1,train_loss
vision.early,mean,primary,2,306,has_crown_color::white,has_crown_color,155,20,135,0.12903225421905518,75,10,65,7.016379356384277,0.6076923076923076,0.16,0.01194954477250576
vision.early,mean,primary,2,308,has_crown_color::buff,has_crown_color,155,31,124,0.20000000298023224,75,16,59,4.7871294021606445,0.625,0.3333333333333333,0.01194954477250576
vision.early,mean,primary,2,309,has_wing_pattern::solid,has_wing_pattern,151,32,119,0.21192052960395813,72,18,54,4.503931045532227,0.5864197530864198,0.3225806451612903,0.01194954477250576
vision.early,mean,primary,2,310,has_wing_pattern::spotted,has_wing_pattern,151,31,120,0.20529800653457642,72,7,65,4.594288349151611,0.7450549450549451,0.2962962962962963,0.01194954477250576
vision.early,mean,primary,2,311,has_wing_pattern::striped,has_wing_pattern,151,55,96,0.3642384111881256,72,33,39,4.125251770019531,0.6208236208236209,0.36,0.01194954477250576
vision.early,mean,primary,2,312,has_wing_pattern::multi-colored,has_wing_pattern,151,33,118,0.21854305267333984,72,14,58,5.016892910003662,0.5073891625615764,0.23809523809523808,0.01194954477250576
vision.early,mean,prevalence,-1,2,has_bill_shape::dagger,has_bill_shape,160,14,146,0.08749999850988388,76,4,72,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,5,has_bill_shape::hooked_seabird,has_bill_shape,160,15,145,0.09375,76,3,73,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,7,has_bill_shape::all-purpose,has_bill_shape,160,66,94,0.4124999940395355,76,34,42,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,8,has_bill_shape::cone,has_bill_shape,160,44,116,0.2750000059604645,76,21,55,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,96,has_head_pattern::malar,has_head_pattern,156,16,140,0.10256410390138626,76,10,66,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,100,has_head_pattern::eyebrow,has_head_pattern,156,30,126,0.19230769574642181,76,14,62,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,101,has_head_pattern::eyering,has_head_pattern,156,25,131,0.16025641560554504,76,16,60,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,102,has_head_pattern::plain,has_head_pattern,156,37,119,0.2371794879436493,76,13,63,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,103,has_head_pattern::eyeline,has_head_pattern,156,18,138,0.11538461595773697,76,7,69,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,104,has_head_pattern::striped,has_head_pattern,156,15,141,0.09615384787321091,76,14,62,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,105,has_head_pattern::capped,has_head_pattern,156,16,140,0.10256410390138626,76,9,67,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,107,has_breast_color::brown,has_breast_color,145,29,116,0.20000000298023224,75,14,61,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,111,has_breast_color::grey,has_breast_color,145,40,105,0.27586206793785095,75,19,56,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,117,has_breast_color::black,has_breast_color,145,50,95,0.3448275923728943,75,30,45,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,118,has_breast_color::white,has_breast_color,145,51,94,0.35172414779663086,75,41,34,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,120,has_breast_color::buff,has_breast_color,145,52,93,0.35862070322036743,75,26,49,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,294,has_crown_color::blue,has_crown_color,155,11,144,0.07096774131059647,75,4,71,0.0,0.5,0.0,nan
